Vehicle_ID,Region_Type,Vehicle_Type,Speed_kmph,Acceleration_mps2,RSU_Energy_Source,RSU_Power_kW,Traffic_Density_Vehicles_per_km,Distance_to_RSU_m,Signal_Strength_dBm,Packet_Size_KB,Transmission_Latency_ms,Energy_Consumption_J,Carbon_Emission_gCO2,Optimal_Route_Score,Carbon_Emission_Level
V0438,Urban,EV,74.0,-2.62,Hybrid,7.4,74,246.46,-60.35,186,55.61,250.97,125.48,80.75,Low
V0439,Highway,EV,108.01,2.04,Hybrid,2.3,149,928.81,-63.12,907,65.68,255.94,127.97,74.2,Low
V0440,Highway,Truck,85.09,-2.98,Renewable,6.96,33,397.81,-89.76,947,95.57,166.41,33.28,50.67,Low
V0441,Suburban,Bus,73.3,-1.52,Renewable,7.59,43,148.45,-86.38,385,14.6,372.0,74.4,90.79,Low
V0442,Highway,EV,52.43,1.45,Non-Renewable,3.72,62,717.29,-75.48,656,34.34,374.71,374.71,71.35,High
V0443,Suburban,EV,53.3,-1.1,Non-Renewable,2.34,145,334.48,-45.89,887,63.08,177.08,177.08,81.66,Medium
V0444,Urban,EV,86.95,-2.39,Non-Renewable,4.91,27,305.41,-82.65,806,96.59,425.89,425.89,34.09,High
V0445,Suburban,Car,119.41,-0.84,Hybrid,2.79,66,998.08,-54.46,518,14.08,192.58,96.29,105.92,Low
V0446,Urban,Truck,86.18,-1.38,Renewable,2.93,121,865.23,-41.33,651,7.14,376.29,75.26,117.0,Low
V0447,Suburban,Car,75.78,2.06,Hybrid,4.03,14,437.54,-50.47,620,10.3,104.45,52.22,112.0,Low
V0448,Highway,Truck,93.07,-1.12,Renewable,4.36,163,981.25,-77.85,452,9.98,125.92,25.18,99.83,Low
V0449,Highway,Bus,66.52,1.73,Hybrid,6.24,167,667.61,-44.58,589,91.24,192.11,96.06,72.29,Low
V0450,Urban,Bus,26.01,2.35,Non-Renewable,7.43,191,754.92,-85.34,121,73.52,317.24,317.24,49.71,High
V0451,Urban,EV,76.23,-0.4,Non-Renewable,6.74,22,79.94,-66.59,831,69.33,340.48,340.48,60.02,High
V0452,Urban,Truck,115.76,2.46,Non-Renewable,3.19,92,165.52,-45.62,73,54.64,228.36,228.36,83.45,Medium
V0453,Suburban,Bus,37.53,-0.74,Hybrid,3.38,38,651.43,-57.94,673,79.29,85.03,42.52,74.26,Low
V0454,Suburban,Truck,89.0,2.78,Renewable,9.03,12,904.07,-69.32,861,19.79,218.14,43.63,98.26,Low
V0455,Urban,Bus,40.09,-2.46,Renewable,6.47,99,642.56,-75.36,534,42.23,359.95,71.99,82.61,Low
V0456,Highway,Car,73.58,1.12,Non-Renewable,8.96,113,177.32,-71.25,105,51.55,351.95,351.95,66.0,High
V0457,Suburban,Bus,29.67,-0.04,Non-Renewable,4.97,132,159.97,-64.55,272,15.49,122.09,122.09,98.88,Low
V0458,Suburban,Car,65.04,-0.67,Non-Renewable,6.92,195,851.98,-74.05,681,44.85,53.5,53.5,82.88,Low
V0459,Suburban,Bus,95.62,0.8,Non-Renewable,6.19,85,182.34,-41.55,228,35.07,388.84,388.84,87.25,High
V0460,Urban,EV,54.76,1.22,Renewable,4.55,139,544.22,-43.35,849,8.38,97.87,19.57,118.16,Low
V0461,Urban,Car,86.49,-2.97,Hybrid,5.76,117,85.26,-46.47,483,17.99,87.06,43.53,110.59,Low
V0462,Urban,Bus,99.54,-2.0,Hybrid,6.02,165,126.64,-68.91,986,77.58,51.22,25.61,70.47,Low
V0463,Urban,EV,112.72,1.28,Hybrid,3.61,91,688.73,-55.43,499,6.71,244.67,122.34,107.81,Low
V0464,Urban,Car,43.46,1.0,Hybrid,4.52,86,704.72,-44.86,842,93.75,276.47,138.24,68.78,Low
V0465,Highway,EV,59.93,2.8,Non-Renewable,8.33,11,374.4,-47.48,933,13.21,336.95,336.95,97.81,High
V0466,Highway,Truck,35.24,1.57,Non-Renewable,9.33,136,254.83,-69.28,541,80.93,183.23,183.23,60.73,Medium
V0467,Urban,Truck,119.25,2.7,Non-Renewable,4.88,144,823.02,-84.38,238,90.37,369.69,369.69,39.14,High
V0468,Suburban,Car,112.7,1.22,Hybrid,4.46,35,256.25,-86.22,627,94.41,126.2,63.1,51.53,Low
V0469,Urban,Bus,74.0,-1.21,Non-Renewable,3.56,97,564.93,-61.15,859,87.41,424.4,424.4,49.5,High
V0470,Highway,Car,104.2,-2.37,Non-Renewable,7.43,25,969.8,-57.87,1010,32.32,307.33,307.33,84.54,High
V0471,Highway,EV,72.1,1.69,Renewable,4.58,160,190.46,-47.51,469,36.64,312.75,62.55,99.8,Low
V0472,Suburban,Bus,82.36,0.86,Renewable,9.9,177,943.83,-75.37,298,45.52,144.4,28.88,83.11,Low
V0473,Highway,Truck,28.91,-2.71,Non-Renewable,4.61,197,223.75,-81.63,637,18.23,83.35,83.35,90.9,Low
V0474,Urban,Bus,95.53,-0.84,Renewable,5.15,82,589.07,-71.05,698,7.12,259.13,51.83,103.32,Low
V0475,Suburban,Truck,32.77,2.74,Renewable,6.83,41,408.16,-72.32,213,87.57,327.03,65.41,61.78,Low
V0476,Urban,Bus,102.61,0.0,Non-Renewable,8.41,24,966.68,-83.38,794,57.64,92.77,92.77,69.85,Low
V0477,Urban,Bus,98.2,-0.4,Non-Renewable,5.76,150,309.86,-56.39,304,62.83,477.74,477.74,61.5,High
V0478,Suburban,Bus,90.87,-0.25,Non-Renewable,5.38,14,429.68,-64.57,525,93.06,491.19,491.19,41.63,High
V0479,Urban,EV,23.62,-1.75,Non-Renewable,9.97,83,983.72,-53.94,855,68.19,295.46,295.46,69.16,Medium
V0480,Highway,EV,50.31,-0.79,Hybrid,2.08,61,559.65,-72.37,466,70.63,477.53,238.76,61.56,Medium
V0481,Urban,Car,46.31,-0.78,Hybrid,9.16,86,527.5,-73.71,219,79.76,130.75,65.38,65.0,Low
V0482,Suburban,Car,56.01,-2.69,Non-Renewable,3.19,178,294.89,-66.37,366,16.05,61.44,61.44,100.72,Low
V0483,Suburban,Truck,28.76,1.61,Renewable,8.29,190,716.3,-46.13,223,39.22,67.73,13.55,101.65,Low
V0484,Suburban,EV,113.7,-0.5,Non-Renewable,6.94,119,63.65,-87.99,519,96.98,314.38,314.38,36.8,High
V0485,Urban,Truck,75.38,1.93,Non-Renewable,4.73,187,97.04,-49.76,394,92.68,77.74,77.74,69.89,Low
V0486,Suburban,Car,50.55,2.1,Renewable,8.99,152,619.39,-71.55,494,88.99,481.35,96.27,59.92,Low
V0487,Suburban,Truck,59.7,-1.73,Hybrid,2.1,115,374.59,-47.27,67,47.95,113.87,56.94,94.54,Low
V0488,Urban,Car,64.72,0.94,Non-Renewable,3.81,136,955.65,-49.89,119,86.43,187.13,187.13,67.48,Medium
V0489,Highway,EV,80.06,-0.17,Non-Renewable,6.54,16,908.03,-72.56,387,9.6,420.13,420.13,82.91,High
V0490,Urban,Bus,71.57,2.28,Hybrid,4.81,49,728.02,-55.31,677,19.11,148.43,74.22,104.08,Low
V0491,Suburban,EV,111.94,-1.71,Hybrid,6.88,165,827.24,-82.02,641,44.33,159.34,79.67,77.84,Low
V0492,Suburban,Truck,69.7,1.07,Renewable,2.19,169,683.97,-45.19,576,50.92,339.04,67.81,93.55,Low
V0493,Urban,Truck,119.22,0.65,Hybrid,2.93,108,169.3,-69.78,737,30.03,174.24,87.12,90.74,Low
V0494,Highway,EV,105.14,-1.23,Hybrid,3.02,152,777.27,-67.22,505,38.87,147.85,73.92,88.26,Low
V0495,Suburban,EV,40.85,-2.18,Hybrid,3.51,94,249.68,-54.71,318,20.46,164.38,82.19,103.31,Low
V0496,Suburban,Car,113.06,0.91,Renewable,5.67,74,357.27,-48.96,680,51.47,270.79,54.16,92.08,Low
V0497,Suburban,Truck,31.64,1.43,Hybrid,8.02,141,828.27,-78.18,860,80.42,484.74,242.37,53.58,Medium
V0498,Urban,Truck,101.74,-1.11,Hybrid,9.24,20,559.7,-56.93,237,67.83,424.51,212.26,72.01,Medium
V0499,Suburban,EV,58.06,0.87,Renewable,8.68,117,866.94,-70.4,618,15.24,178.07,35.61,100.4,Low
V0500,Highway,Bus,107.8,-0.63,Hybrid,3.58,35,252.38,-71.56,760,51.32,213.52,106.76,78.22,Low
V0501,Suburban,Truck,106.81,1.28,Hybrid,5.53,198,627.39,-55.5,578,71.28,259.03,129.51,75.13,Low
V0502,Suburban,Bus,100.59,-1.8,Renewable,3.6,174,129.6,-70.64,483,55.34,490.52,98.1,77.1,Low
V0503,Highway,EV,99.0,2.34,Non-Renewable,4.12,160,660.91,-72.69,337,42.21,127.58,127.58,81.17,Low
V0504,Suburban,EV,50.47,-1.28,Renewable,6.03,94,774.41,-48.21,967,64.08,210.87,42.17,86.75,Low
V0505,Urban,Car,28.09,-0.79,Hybrid,2.54,177,605.68,-84.94,616,97.02,378.24,189.12,44.56,Medium
V0506,Urban,Truck,60.3,-2.65,Hybrid,3.75,160,302.92,-56.21,548,14.02,483.77,241.88,97.79,Medium
V0507,Urban,Bus,37.35,-2.33,Hybrid,9.48,132,79.78,-77.56,490,42.05,120.05,60.02,82.19,Low
V0508,Highway,Car,89.5,0.1,Renewable,5.73,153,163.48,-89.23,830,43.63,152.32,30.46,77.05,Low
V0509,Suburban,Truck,54.61,-1.39,Hybrid,5.56,198,641.19,-81.66,352,59.81,151.56,75.78,70.48,Low
V0510,Urban,Car,117.56,2.01,Hybrid,2.12,77,937.7,-59.67,136,19.46,59.42,29.71,103.95,Low
V0511,Highway,EV,84.1,-2.91,Renewable,3.98,113,246.21,-54.54,879,21.78,321.85,64.37,103.62,Low
V0512,Suburban,Truck,102.25,-0.73,Non-Renewable,8.93,89,748.27,-88.95,487,32.11,351.82,351.82,66.88,High
V0513,Highway,Car,33.25,-0.98,Non-Renewable,3.32,168,873.13,-88.18,590,95.81,321.14,321.14,36.95,High
V0514,Urban,Car,106.2,-2.88,Hybrid,5.32,62,544.84,-44.87,71,74.74,82.1,41.05,83.14,Low
V0515,Urban,Bus,112.28,-2.25,Renewable,2.11,115,685.8,-86.33,882,67.86,81.15,16.23,67.09,Low
V0516,Urban,Car,68.71,-0.52,Hybrid,5.83,162,824.26,-45.29,846,82.61,144.67,72.33,77.43,Low
V0517,Highway,Truck,80.63,-0.04,Renewable,2.17,53,297.64,-78.59,609,17.12,180.63,36.13,95.34,Low
V0518,Highway,Truck,96.48,-0.57,Renewable,8.56,149,332.05,-53.0,566,86.64,403.94,80.79,71.14,Low
V0519,Urban,Bus,37.48,0.19,Non-Renewable,8.6,99,50.6,-74.51,811,61.51,121.73,121.73,70.9,Low
V0520,Highway,Truck,70.26,0.57,Non-Renewable,8.3,110,964.94,-47.06,724,36.86,69.84,69.84,99.55,Low
V0521,Urban,EV,59.87,-2.94,Renewable,4.27,106,921.67,-54.98,552,82.51,227.29,45.46,73.98,Low
V0522,Urban,Truck,34.64,-0.22,Hybrid,8.7,18,776.34,-69.91,763,81.24,237.38,118.69,63.49,Low
V0523,Suburban,Truck,56.75,2.78,Non-Renewable,6.34,21,125.12,-86.18,516,85.34,252.91,252.91,46.59,Medium
V0524,Highway,Car,26.82,0.11,Hybrid,4.99,78,475.13,-53.36,150,15.97,422.11,211.06,99.78,Medium
V0525,Urban,Car,22.58,1.07,Non-Renewable,7.0,191,146.8,-59.16,632,97.09,94.1,94.1,62.17,Low
V0526,Urban,Truck,33.52,-1.13,Non-Renewable,2.1,191,65.12,-89.85,991,96.16,366.77,366.77,33.66,High
V0527,Highway,Bus,116.31,1.64,Hybrid,3.14,37,635.37,-89.53,724,38.96,202.08,101.04,75.7,Low
V0528,Suburban,Car,74.95,1.64,Non-Renewable,7.94,65,962.79,-49.56,734,11.26,189.49,189.49,105.12,Medium
V0529,Suburban,Bus,116.58,0.13,Non-Renewable,3.95,108,907.72,-77.03,190,20.87,469.64,469.64,72.57,High
V0530,Urban,Truck,63.25,2.86,Hybrid,6.78,119,711.92,-58.19,187,99.32,161.81,80.9,62.2,Low
V0531,Highway,Truck,51.18,-2.25,Non-Renewable,5.08,86,141.81,-67.29,627,58.49,339.14,339.14,65.15,High
V0532,Suburban,EV,70.61,-2.9,Non-Renewable,8.84,112,310.46,-46.83,759,38.88,173.81,173.81,93.45,Medium
V0533,Highway,Car,63.95,1.62,Non-Renewable,9.62,115,354.05,-44.15,889,32.38,278.21,278.21,92.82,Medium
V0534,Highway,Truck,30.57,1.84,Hybrid,9.07,118,774.99,-40.16,277,29.41,403.83,201.92,100.12,Medium
V0535,Urban,EV,84.08,-2.28,Renewable,4.16,121,812.14,-82.32,330,68.09,446.78,89.36,65.33,Low
V0536,Suburban,Car,41.6,-1.41,Hybrid,3.55,67,415.85,-46.85,733,44.84,427.41,213.7,88.47,Medium
V0537,Urban,Truck,81.96,-2.89,Renewable,5.8,87,446.99,-76.7,877,96.71,311.98,62.4,55.18,Low
V0538,Suburban,Truck,85.02,-1.24,Non-Renewable,2.06,84,92.28,-60.46,480,69.97,161.97,161.97,71.69,Medium
V0539,Suburban,Car,35.2,1.64,Renewable,2.21,51,324.68,-64.71,89,80.24,347.56,69.51,69.05,Low
V0540,Suburban,Car,26.13,0.11,Hybrid,6.43,175,478.72,-89.1,568,32.81,369.46,184.73,74.81,Medium
V0541,Suburban,Car,98.08,-0.91,Hybrid,6.16,77,161.13,-43.36,735,12.52,54.81,27.4,115.69,Low
V0542,Suburban,Truck,65.98,-0.77,Non-Renewable,9.96,190,480.6,-86.08,712,51.34,247.64,247.64,63.91,Medium
V0543,Highway,Truck,25.82,-2.99,Renewable,3.61,42,860.52,-55.59,260,34.89,429.47,85.89,95.47,Low
V0544,Urban,EV,119.49,-1.2,Non-Renewable,4.06,80,602.25,-50.75,351,24.2,270.31,270.31,94.01,Medium
V0545,Highway,Bus,25.78,0.88,Non-Renewable,2.91,65,124.98,-50.24,135,95.5,190.12,190.12,62.62,Medium
V0546,Suburban,Car,89.5,2.85,Hybrid,9.34,114,232.09,-83.23,446,47.18,442.31,221.16,68.74,Medium
V0547,Urban,Truck,118.37,2.08,Renewable,8.22,110,500.82,-67.62,302,21.6,120.15,24.03,99.19,Low
V0548,Suburban,Truck,43.92,-2.86,Renewable,8.58,60,393.41,-48.53,582,23.87,142.9,28.58,107.37,Low
V0549,Urban,Car,34.22,2.39,Renewable,9.22,83,390.79,-74.87,818,31.67,359.32,71.86,88.14,Low
V0550,Highway,Bus,32.14,1.7,Renewable,6.2,180,552.8,-66.61,940,99.94,208.6,41.72,59.64,Low
V0551,Urban,Car,50.33,1.68,Non-Renewable,5.61,130,605.18,-76.36,964,30.46,370.86,370.86,73.05,High
V0552,Urban,Bus,30.1,-0.25,Non-Renewable,4.64,152,807.02,-66.82,430,36.24,120.97,120.97,87.42,Low
V0553,Urban,Truck,89.22,-0.61,Hybrid,6.71,175,373.92,-45.61,493,67.64,163.52,81.76,84.29,Low
V0554,Urban,Bus,26.23,-1.18,Non-Renewable,5.63,152,815.19,-67.24,82,32.93,120.49,120.49,88.89,Low
V0555,Urban,EV,70.94,-2.61,Non-Renewable,5.61,14,371.68,-62.2,309,25.5,478.81,478.81,77.21,High
V0556,Suburban,Truck,119.67,-1.63,Hybrid,9.5,92,102.66,-69.8,283,20.07,232.43,116.22,94.25,Low
V0557,Urban,EV,101.4,-1.52,Hybrid,9.87,191,576.48,-66.99,564,34.7,201.75,100.88,89.11,Low
V0558,Urban,Car,81.52,-0.1,Hybrid,8.37,60,608.51,-89.24,908,15.06,56.39,28.2,91.44,Low
V0559,Highway,Car,50.63,1.48,Non-Renewable,8.05,19,937.81,-75.81,357,6.77,119.04,119.04,97.76,Low
V0560,Urban,Car,82.39,-0.16,Non-Renewable,7.44,149,739.76,-68.17,788,81.44,239.51,239.51,58.22,Medium
V0561,Highway,Bus,72.7,-2.65,Hybrid,3.33,13,921.88,-58.31,845,18.1,80.83,40.42,104.77,Low
V0562,Suburban,Truck,62.61,2.75,Hybrid,2.47,104,912.93,-67.5,119,78.72,279.83,139.92,64.89,Low
V0563,Urban,Car,33.07,2.66,Hybrid,7.53,155,624.35,-73.11,503,80.77,254.76,127.38,61.69,Low
V0564,Highway,Car,108.66,1.71,Non-Renewable,7.83,89,551.37,-70.6,488,56.1,395.23,395.23,61.89,High
V0565,Highway,Truck,64.98,2.95,Non-Renewable,2.38,45,579.57,-77.89,874,34.42,346.91,346.91,71.5,High
V0566,Suburban,Car,39.46,0.27,Renewable,9.42,34,979.41,-43.78,413,18.78,250.68,50.14,111.21,Low
V0567,Urban,EV,56.78,2.78,Non-Renewable,2.73,107,784.51,-63.91,815,75.0,151.1,151.1,67.99,Medium
V0568,Urban,Truck,61.41,-2.55,Non-Renewable,4.29,173,150.95,-89.33,530,62.13,377.09,377.09,50.42,High
V0569,Highway,Truck,102.75,-0.81,Non-Renewable,7.38,110,789.51,-89.03,193,67.27,368.54,368.54,48.42,High
V0570,Urban,Truck,93.36,-1.65,Hybrid,3.36,18,212.01,-41.35,73,5.82,118.98,59.49,118.44,Low
V0571,Highway,EV,96.93,-1.83,Non-Renewable,2.44,70,474.98,-78.93,1014,93.11,461.64,461.64,35.9,High
V0572,Urban,Truck,21.1,-2.16,Hybrid,4.65,62,249.94,-49.72,474,11.3,78.98,39.49,112.52,Low
V0573,Highway,EV,61.62,0.73,Renewable,8.13,155,705.1,-87.09,795,39.85,74.77,14.95,80.78,Low
V0574,Urban,Truck,68.13,1.69,Renewable,5.31,180,883.44,-43.94,894,43.26,134.31,26.86,100.06,Low
V0575,Suburban,Bus,21.92,0.47,Hybrid,7.22,172,325.84,-46.28,224,5.13,459.26,229.63,107.81,Medium
V0576,Urban,Car,45.98,-2.12,Hybrid,6.64,72,127.91,-61.45,893,52.22,284.0,142.0,81.06,Low
V0577,Urban,Bus,96.03,1.87,Hybrid,2.18,130,333.57,-89.55,374,76.52,404.57,202.28,51.85,Medium
V0578,Suburban,Car,33.71,0.82,Non-Renewable,9.91,114,688.74,-77.11,918,83.21,152.53,152.53,57.21,Medium
V0579,Urban,EV,73.53,-0.67,Renewable,2.33,13,362.32,-69.66,720,88.54,270.6,54.12,63.19,Low
V0580,Suburban,Bus,41.52,1.04,Hybrid,9.74,102,314.21,-67.0,909,51.33,211.23,105.62,80.55,Low
V0581,Urban,Truck,21.21,-1.44,Non-Renewable,6.4,178,225.21,-75.12,397,64.91,422.52,422.52,53.86,High
V0582,Highway,Car,44.12,-0.93,Renewable,9.71,182,522.64,-88.35,847,12.55,60.17,12.03,93.95,Low
V0583,Highway,Car,117.59,2.5,Non-Renewable,2.92,187,312.15,-60.49,67,51.36,159.73,159.73,81.09,Medium
V0584,Urban,Bus,100.15,-1.26,Renewable,5.92,37,744.46,-63.79,93,19.71,118.66,23.73,102.06,Low
V0585,Urban,EV,115.96,-0.18,Non-Renewable,3.36,179,122.79,-75.85,204,40.12,436.64,436.64,65.18,High
V0586,Urban,Bus,68.79,2.34,Renewable,2.41,89,680.83,-88.1,916,36.28,260.39,52.08,80.21,Low
V0587,Highway,EV,30.97,1.25,Renewable,6.94,85,275.68,-40.27,971,45.24,231.9,46.38,99.93,Low
V0588,Urban,EV,74.8,-2.63,Non-Renewable,3.66,125,514.82,-65.9,426,59.31,252.27,252.27,69.78,Medium
V0589,Highway,Car,65.44,-2.12,Hybrid,6.7,78,321.79,-52.2,792,90.77,487.37,243.68,61.33,Medium
V0590,Suburban,Bus,104.44,-2.95,Renewable,2.9,107,736.63,-67.38,932,42.48,432.62,86.52,85.74,Low
V0591,Highway,Bus,29.81,0.79,Hybrid,4.66,10,948.04,-87.84,877,98.21,367.87,183.94,42.78,Medium
V0592,Highway,EV,68.82,-0.31,Non-Renewable,8.25,176,921.22,-74.52,451,77.11,180.72,180.72,60.15,Medium
V0593,Suburban,Bus,35.0,-2.19,Hybrid,5.5,105,604.25,-73.99,274,53.59,124.33,62.16,78.1,Low
V0594,Highway,Truck,52.47,2.75,Hybrid,7.02,26,489.48,-48.08,266,66.18,464.65,232.32,76.25,Medium
V0595,Urban,Truck,93.74,0.18,Hybrid,7.18,121,827.39,-57.29,617,14.71,240.38,120.19,102.99,Low
V0596,Urban,Bus,67.6,-1.55,Hybrid,8.75,100,699.16,-76.23,80,85.23,175.44,87.72,59.88,Low
V0597,Highway,Bus,57.59,0.0,Hybrid,4.6,97,224.39,-41.61,918,60.32,261.91,130.96,87.49,Low
V0598,Urban,EV,59.45,1.08,Renewable,7.5,172,829.87,-73.92,108,98.68,463.03,92.61,54.07,Low
V0599,Highway,Truck,65.94,-2.54,Renewable,9.69,183,457.44,-40.09,941,65.46,224.18,44.84,89.98,Low
V0600,Urban,Truck,98.5,-1.35,Renewable,7.84,179,229.54,-40.19,947,84.24,303.19,60.64,79.75,Low
V0601,Urban,Car,109.21,1.84,Non-Renewable,5.92,176,317.71,-80.44,402,80.98,411.33,411.33,43.72,High
V0602,Highway,EV,115.53,-0.24,Hybrid,7.05,99,304.15,-74.36,984,37.82,242.21,121.1,82.85,Low
V0603,Urban,Car,98.69,0.28,Renewable,7.92,58,543.25,-65.7,494,29.66,155.09,31.02,95.77,Low
V0604,Highway,Truck,51.54,-0.4,Non-Renewable,6.9,199,272.65,-56.79,284,45.9,497.54,497.54,68.78,High
V0605,Urban,EV,88.81,-2.74,Renewable,2.13,47,167.39,-63.6,156,49.39,480.46,96.09,83.7,Low
V0606,Urban,Bus,63.76,-2.01,Renewable,3.56,160,167.51,-41.53,240,27.81,429.57,85.91,106.03,Low
V0607,Suburban,EV,45.47,-0.33,Hybrid,8.48,159,604.11,-53.8,579,89.99,359.77,179.88,64.11,Medium
V0608,Suburban,Bus,104.09,-1.74,Non-Renewable,4.18,141,748.02,-79.4,962,56.54,182.69,182.69,67.9,Medium
V0609,Highway,Bus,23.84,-2.7,Hybrid,7.85,186,355.46,-84.75,787,97.95,461.04,230.52,42.12,Medium
V0610,Suburban,EV,110.18,2.06,Hybrid,4.98,68,82.92,-55.58,728,81.95,174.0,87.0,71.88,Low
V0611,Highway,Bus,66.15,2.89,Renewable,6.18,77,170.86,-82.08,632,57.79,410.36,82.07,70.96,Low
V0612,Suburban,Car,83.72,1.76,Hybrid,2.54,139,918.96,-50.62,923,94.97,463.22,231.61,60.62,Medium
V0613,Urban,Truck,85.94,2.12,Non-Renewable,3.45,58,518.87,-74.45,615,52.96,321.35,321.35,65.23,High
V0614,Highway,Bus,109.51,-1.55,Hybrid,9.66,135,480.89,-73.66,294,89.28,411.38,205.69,53.25,Medium
V0615,Highway,Car,83.67,2.76,Hybrid,9.12,168,86.15,-89.46,911,39.02,406.26,203.13,70.6,Medium
V0616,Urban,Bus,81.39,-1.82,Hybrid,7.22,120,742.21,-54.95,125,40.97,136.92,68.46,93.62,Low
V0617,Highway,Truck,26.67,2.71,Renewable,5.68,177,551.66,-84.34,596,44.72,350.57,70.11,76.96,Low
V0618,Highway,Car,71.84,2.97,Non-Renewable,7.41,57,241.98,-51.36,316,56.93,92.06,92.06,86.25,Low
V0619,Suburban,Truck,35.02,1.27,Renewable,6.95,60,154.57,-65.41,366,57.58,278.53,55.71,80.72,Low
V0620,Highway,Truck,93.74,2.89,Renewable,6.55,52,414.22,-50.79,861,52.16,123.01,24.6,92.3,Low
V0621,Urban,Car,71.22,0.42,Renewable,2.47,107,845.3,-60.8,170,34.07,237.36,47.47,95.19,Low
V0622,Suburban,Car,88.02,-1.44,Renewable,7.06,192,872.03,-85.88,885,93.08,424.84,84.97,51.27,Low
V0623,Suburban,Car,24.17,-0.38,Renewable,8.15,186,622.7,-51.72,74,60.92,494.23,98.85,83.74,Low
V0624,Urban,EV,28.48,0.56,Non-Renewable,9.95,133,741.16,-86.51,481,43.74,193.08,193.08,70.22,Medium
V0625,Urban,Car,91.63,-2.56,Hybrid,2.09,89,159.4,-66.06,209,66.86,289.38,144.69,71.31,Low
V0626,Suburban,Car,27.21,0.73,Renewable,7.84,194,608.72,-81.38,645,77.96,280.08,56.02,62.53,Low
V0627,Highway,Car,27.13,2.89,Renewable,6.57,120,683.62,-52.38,163,96.27,479.48,95.9,65.88,Low
V0628,Suburban,Car,21.21,-1.86,Non-Renewable,5.47,152,240.68,-44.42,784,52.46,265.36,265.36,83.29,Medium
V0629,Urban,Bus,115.65,1.76,Non-Renewable,3.02,36,886.15,-62.29,949,15.65,364.6,364.6,87.8,High
V0630,Suburban,EV,93.75,2.45,Hybrid,5.27,167,235.25,-63.64,551,46.87,464.81,232.4,78.12,Medium
V0631,Urban,Truck,55.33,2.66,Non-Renewable,4.84,173,347.8,-51.8,215,50.5,218.02,218.02,82.95,Medium
V0632,Suburban,Car,49.65,2.76,Hybrid,4.42,122,639.53,-89.75,752,90.21,455.96,227.98,43.62,Medium
V0633,Highway,Bus,54.97,0.13,Renewable,7.85,95,656.43,-44.11,224,42.51,462.86,92.57,97.06,Low
V0634,Suburban,Bus,97.47,2.86,Renewable,7.61,123,714.42,-80.13,50,95.57,468.8,93.76,52.46,Low
V0635,Suburban,Bus,86.14,1.54,Hybrid,6.71,133,156.41,-40.79,948,51.09,171.7,85.85,94.77,Low
V0636,Urban,Truck,38.52,-2.03,Non-Renewable,9.51,58,856.99,-53.19,790,97.51,230.16,230.16,58.14,Medium
V0637,Urban,Car,37.41,-0.14,Hybrid,4.8,85,556.2,-51.29,135,5.78,441.68,220.84,105.42,Medium
V0638,Urban,EV,29.84,1.31,Non-Renewable,3.95,64,497.76,-57.19,623,90.39,211.62,211.62,60.63,Medium
V0639,Suburban,EV,86.03,-1.52,Renewable,7.25,65,982.04,-66.42,369,93.46,320.11,64.02,61.86,Low
V0640,Highway,Bus,96.44,0.84,Non-Renewable,3.59,104,753.36,-61.42,450,96.3,103.12,103.12,60.98,Low
V0641,Urban,Truck,46.5,1.0,Hybrid,4.52,53,162.11,-87.68,431,6.24,75.32,37.66,96.16,Low
V0642,Urban,Truck,22.09,-2.02,Hybrid,3.8,168,768.71,-58.8,767,21.31,235.4,117.7,99.06,Low
V0643,Suburban,Truck,28.22,0.39,Renewable,2.55,195,140.49,-58.7,666,67.11,310.51,62.1,78.99,Low
V0644,Urban,EV,116.79,1.63,Non-Renewable,8.62,96,76.1,-45.44,367,7.42,226.71,226.71,107.23,Medium
V0645,Highway,Bus,49.54,-0.01,Non-Renewable,4.04,190,433.44,-64.72,852,11.04,309.98,309.98,91.62,High
V0646,Highway,Car,96.92,-2.93,Non-Renewable,5.78,93,993.9,-86.14,299,26.0,281.79,281.79,74.84,Medium
V0647,Urban,EV,82.47,-2.95,Renewable,2.35,160,216.14,-74.69,574,53.68,358.57,71.71,77.23,Low
V0648,Urban,Bus,58.19,-0.86,Non-Renewable,7.59,165,689.01,-57.22,724,56.86,342.29,342.29,70.85,High
V0649,Suburban,Bus,40.57,2.56,Hybrid,4.64,25,214.73,-78.04,604,8.25,240.91,120.46,95.83,Low
V0650,Highway,Car,32.14,-1.63,Non-Renewable,7.96,174,738.55,-75.97,947,21.18,241.25,241.25,84.36,Medium
V0651,Highway,Car,81.5,0.81,Renewable,5.3,158,530.09,-48.98,1001,52.47,113.35,22.67,93.14,Low
V0652,Urban,Car,97.46,-1.67,Non-Renewable,3.57,154,695.97,-60.78,672,61.42,280.96,280.96,69.85,Medium
V0653,Suburban,Truck,84.39,-1.07,Non-Renewable,6.11,46,242.73,-64.57,766,19.1,314.23,314.23,87.45,High
V0654,Highway,Car,73.03,2.09,Hybrid,3.04,86,758.35,-74.08,945,42.89,264.42,132.21,79.9,Low
V0655,Highway,Bus,24.2,1.37,Non-Renewable,5.52,156,995.84,-53.45,305,90.92,196.57,196.57,62.99,Medium
V0656,Suburban,Car,116.85,-2.43,Hybrid,4.54,167,682.37,-75.61,356,99.9,374.74,187.37,47.88,Medium
